epoch,step,train_loss,val_loss
0,49,0.13189207017421722,
0,99,0.12822075188159943,
0,149,0.12188132852315903,
0,199,0.12566067278385162,
0,249,0.12240497022867203,
0,269,,0.12840549647808075
1,299,0.13149671256542206,
1,349,0.13713562488555908,
1,399,0.13304786384105682,
1,449,0.12814395129680634,
1,499,0.13092519342899323,
1,539,,0.1277889460325241
2,549,0.13178879022598267,
2,599,0.12448059767484665,
2,649,0.12013281136751175,
2,699,0.1237063929438591,
2,749,0.13036313652992249,
2,799,0.13492479920387268,
2,809,,0.12730640172958374
3,849,0.12558436393737793,
3,899,0.12743623554706573,
3,949,0.13534888625144958,
3,999,0.14195677638053894,
3,1049,0.1266128569841385,
3,1079,,0.12726211547851562
4,1099,0.1284167766571045,
4,1149,0.12650293111801147,
4,1199,0.11975663900375366,
4,1249,0.12556247413158417,
4,1299,0.12837059795856476,
4,1349,0.1289251446723938,
4,1349,,0.1271771639585495
5,1399,0.12829551100730896,
5,1449,0.13186703622341156,
5,1499,0.12653525173664093,
5,1549,0.12889248132705688,
5,1599,0.12614314258098602,
5,1619,,0.12653793394565582
6,1649,0.12882427871227264,
6,1699,0.12961378693580627,
6,1749,0.12250477820634842,
6,1799,0.12561050057411194,
6,1849,0.12143146991729736,
6,1889,,0.12710343301296234
7,1899,0.12778708338737488,
7,1949,0.12501396238803864,
7,1999,0.1283332258462906,
7,2049,0.13359437882900238,
7,2099,0.12552057206630707,
7,2149,0.12439791113138199,
7,2159,,0.12785367667675018
8,2199,0.12315504997968674,
8,2249,0.12865203619003296,
8,2299,0.12022892385721207,
8,2349,0.13007190823554993,
8,2399,0.13314251601696014,
8,2429,,0.12808234989643097
9,2449,0.1259162873029709,
9,2499,0.12742039561271667,
9,2549,0.13453000783920288,
9,2599,0.13266150653362274,
9,2649,0.13223563134670258,
9,2699,0.12795661389827728,
9,2699,,0.1271197348833084
10,2749,0.12768682837486267,
10,2799,0.1346656084060669,
10,2849,0.1281929761171341,
10,2899,0.12306266278028488,
10,2949,0.12521681189537048,
10,2969,,0.1274423599243164
11,2999,0.1232212707400322,
11,3049,0.12371761351823807,
11,3099,0.12427297234535217,
11,3149,0.12892356514930725,
11,3199,0.11898112297058105,
11,3239,,0.12767340242862701
12,3249,0.12839969992637634,
12,3299,0.125388965010643,
12,3349,0.13599124550819397,
12,3399,0.1277514398097992,
12,3449,0.12670519948005676,
12,3499,0.1241871640086174,
12,3509,,0.12695030868053436
