word,shap_freq,lime_freq,total_freq
and,14,11,25
the,5,17,22
to,15,6,21
he,6,5,11
of,3,7,10
on,5,4,9
in,8,0,8
soviet,2,5,7
no,5,2,7
from,0,7,7
then,0,7,7
tomb,5,0,5
royalties,5,0,5
received,5,0,5
brief,0,5,5
seven,5,0,5
infect,5,0,5
miraculous,0,5,5
come,5,0,5
flicker,0,5,5
until,5,0,5
would,5,0,5
raider,5,0,5
time,5,0,5
possible,5,0,5
a,0,5,5
go,5,0,5
space,5,0,5
government,0,4,4
it,3,1,4
house,0,4,4
worked,0,4,4
an,0,4,4
rare,0,4,4
jaunts,0,4,4
during,0,4,4
liked,0,4,4
formed,0,4,4
pajitnov,0,4,4
fell,3,0,3
tetris,2,1,3
learn,3,0,3
union,2,1,3
takes,3,0,3
genuinely,3,0,3
thrill,0,3,3
piece,0,3,3
being,0,3,3
dreams,3,0,3
minutes,3,0,3
afford,3,0,3
cannot,3,0,3
millions,3,0,3
that,1,2,3
darkness,3,0,3
tetramino,0,3,3
was,1,2,3
for,0,3,3
shape,0,3,3
five,3,0,3
composed,0,3,3
because,0,2,2
enduringly,2,0,2
exactly,1,1,2
claimed,0,2,2
remained,2,0,2
work,1,1,2
not,1,1,2
at,0,2,2
fit,1,1,2
continued,1,1,2
anything,1,1,2
knew,1,1,2
afraid,1,1,2
nobody,1,1,2
satisfaction,0,1,1
try,0,1,1
lead,0,1,1
involved,1,0,1
them,0,1,1
begin,0,1,1
life,0,1,1
his,0,1,1
who,0,1,1
interior,0,1,1
is,1,0,1
kinds,1,0,1
least,0,1,1
which,1,0,1
various,1,0,1
magazine,0,1,1
watching,0,1,1
cold,0,1,1
meaning,0,1,1
success,0,1,1
people,0,1,1
distribution,0,1,1
{ns],0,1,1
way,0,1,1
russia,0,1,1
war,0,1,1
trying,1,0,1
feeling,0,1,1
expertly,0,1,1
me,0,1,1
effect,0,1,1
incredibly,1,0,1
distract,1,0,1
four,0,1,1
substitute,0,1,1
how,0,1,1
suede,0,1,1
you,0,1,1
matter,0,1,1
always,1,0,1
anguish,0,1,1
programmer,0,1,1
played,0,1,1
had,1,0,1
computer,0,1,1
sofa,0,1,1
american,0,1,1
will,0,1,1
together,0,1,1
rights,0,1,1
going,1,0,1
there's,0,1,1
collapsed,0,1,1
i'm,1,0,1
broke,1,0,1
vast,0,1,1
described,0,1,1
first,0,1,1
money,0,1,1
my,0,1,1
getting,1,0,1
terrifying,0,1,1
background,0,1,1
calls,0,1,1
also,0,1,1
same,0,1,1
eventually,1,0,1
ending,0,1,1
myself,0,1,1
clean,0,1,1
arrived,0,1,1
